Movie_Id,Movie_Title,genre,CompanionContext
1,Toy Story (1995),"Animation, Adventure, Comedy, Family, Fantasy",Children 
2,GoldenEye (1995),"Action, Adventure, Thriller",Adult 
3,Four Rooms (1995),Comedy,Adult 
4,Get Shorty (1995),"Comedy, Crime, Thriller",Adult 
5,Copycat (1995),"Drama, Mystery, Thriller",Lover 
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"Crime, Drama, Romance",Adult 
7,Twelve Monkeys (1995),"Mystery, Sci-Fi, Thriller",Adult 
8,Babe (1995),"Comedy, Drama, Family",Adult 
9,Dead Man Walking (1995),"Crime, Drama",Adult 
10,Richard III (1995),"Drama, Sci-Fi, War",Adult 
11,Seven (Se7en) (1995),"Crime, Drama, Mystery, Thriller",Adult 
12,"Usual Suspects, The (1995)","Crime, Mystery, Thriller",Adult 
13,Mighty Aphrodite (1995),"Comedy, Fantasy, Romance",Lover 
14,"Postino, Il (1994)","Biography, Comedy, Drama",Adult 
15,Mr. Holland's Opus (1995),"Drama, Music",Adult 
16,French Twist (Gazon maudit) (1995),Comedy,Adult 
17,From Dusk Till Dawn (1996),"Action, Crime, Horror",Adult 
18,"White Balloon, The (1995)","Drama, Family",Adult 
19,Antonia's Line (1995),"Comedy, Drama",Adult 
20,Angels and Insects (1995),"Drama, Romance",Lover 
21,Muppet Treasure Island (1996),"Action, Adventure, Comedy, Family, Musical, Romance",Adult 
22,Braveheart (1995),"Biography, Drama, History, War",Adult 
23,Taxi Driver (1976),"Crime, Drama",Adult 
24,Rumble in the Bronx (1995),"Action, Comedy, Crime, Thriller",Adult 
25,"Birdcage, The (1996)",Comedy,Adult 
26,"Brothers McMullen, The (1995)","Comedy, Drama, Romance",Lover 
27,Bad Boys (1995),"Action, Comedy, Crime, Drama, Thriller",Adult 
28,Apollo 13 (1995),"Adventure, Drama, History",Adult 
29,Batman Forever (1995),"Action, Adventure, Fantasy",Adult 
30,Belle de jour (1967),Drama,Adult 
31,Crimson Tide (1995),"Action, Drama, Thriller, War",Adult 
32,Crumb (1994),"Documentary, Biography, Comedy",Children 
33,Desperado (1995),"Action, Thriller",Adult 
34,"Doom Generation, The (1995)","Action, Comedy, Crime",Adult 
35,Free Willy 2: The Adventure Home (1995),"Adventure, Drama, Family",Adult 
36,Mad Love (1995),"Drama, Romance",Lover 
37,Nadja (1994),"Drama, Horror",Adult 
38,"Net, The (1995)","Action, Crime, Drama, Mystery, Thriller",Adult 
39,Strange Days (1995),"Action, Crime, Drama, Sci-Fi, Thriller",Adult 
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","Comedy, Drama",Adult 
41,Billy Madison (1995),Comedy,Adult 
42,Clerks (1994),Comedy,Adult 
43,Disclosure (1994),"Drama, Thriller",Adult 
44,Dolores Claiborne (1994),"Crime, Drama, Mystery, Thriller",Adult 
45,Eat Drink Man Woman (1994),"Comedy, Drama, Romance",Lover 
46,Exotica (1994),Drama,Adult 
47,Ed Wood (1994),"Biography, Comedy, Drama",Adult 
48,Hoop Dreams (1994),"Documentary, Drama, Sport",Children 
49,I.Q. (1994),"Comedy, Romance",Lover 
50,Star Wars (1977),"Action, Adventure, Fantasy, Sci-Fi",Adult 
51,Legends of the Fall (1994),"Drama, Romance, War, Western",Lover 
52,"Madness of King George, The (1994)","Biography, Comedy, Drama, History",Adult 
53,Natural Born Killers (1994),"Crime, Drama",Adult 
54,Outbreak (1995),"Action, Drama, Thriller",Adult 
55,"Professional, The (1994)","Crime, Drama, Thriller",Adult 
56,Pulp Fiction (1994),"Crime, Drama",Adult 
57,Priest (1994),"Drama, Romance",Lover 
58,Quiz Show (1994),"Biography, Drama, History",Adult 
59,Three Colors: Red (1994),"Drama, Mystery, Romance",Lover 
60,Three Colors: Blue (1993),"Drama, Music, Mystery, Romance",Lover 
61,Three Colors: White (1994),"Comedy, Drama, Romance",Lover 
62,Stargate (1994),"Action, Adventure, Sci-Fi",Adult 
63,"Santa Clause, The (1994)","Comedy, Drama, Family, Fantasy",Adult 
64,"Shawshank Redemption, The (1994)",Drama,Adult 
65,What's Eating Gilbert Grape (1993),Drama,Adult 
66,While You Were Sleeping (1995),"Comedy, Drama, Romance",Lover 
67,Ace Ventura: Pet Detective (1994),Comedy,Adult 
68,"Crow, The (1994)","Action, Drama, Fantasy",Adult 
69,Forrest Gump (1994),"Drama, Romance",Lover 
70,Four Weddings and a Funeral (1994),"Comedy, Drama, Romance",Lover 
71,"Lion King, The (1994)","Animation, Adventure, Drama, Family, Musical",Children 
72,"Mask, The (1994)","Comedy, Fantasy",Adult 
73,Maverick (1994),"Action, Adventure, Comedy, Thriller, Western",Adult 
74,Faster Pussycat! Kill! Kill! (1965),"Action, Comedy",Adult 
75,Brother Minister: The Assassination of Malcolm X (1994),Documentary,Children 
76,Carlito's Way (1993),"Crime, Drama, Thriller",Adult 
77,"Firm, The (1993)","Drama, Mystery, Thriller",Adult 
78,Free Willy (1993),"Adventure, Drama, Family",Adult 
79,"Fugitive, The (1993)","Action, Crime, Drama, Mystery, Thriller",Adult 
80,Hot Shots! Part Deux (1993),"Action, Comedy",Adult 
81,"Hudsucker Proxy, The (1994)","Comedy, Drama, Fantasy",Adult 
82,Jurassic Park (1993),"Adventure, Sci-Fi, Thriller",Adult 
83,Much Ado About Nothing (1993),"Comedy, Drama, Romance",Lover 
84,Robert A. Heinlein's The Puppet Masters (1994),"Horror, Sci-Fi, Thriller",Adult 
85,"Ref, The (1994)","Comedy, Crime, Drama",Adult 
86,"Remains of the Day, The (1993)","Drama, Romance",Lover 
87,Searching for Bobby Fischer (1993),"Biography, Drama",Adult 
88,Sleepless in Seattle (1993),"Comedy, Drama, Romance",Lover 
